tcId,summary,username,password,menu,accountId,closureValueDate,repaymentAccountId,expectedResult,linkedTcid
FCB-10177,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD07_ByMaker_H1,PT9,Infy@123,CTDA,'1770062167560100016,,'17000621675601001,successfully,FCB-10178
FCB-10179,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD1M_ByMaker_I1,PT9,Infy@123,CTDA,,,,successfully,FCB-10180
FCB-10181,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD3M_ByMaker_J1,PT9,Infy@123,CTDA,,,,successfully,FCB-10182
FCB-10183,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD6M_ByMaker_K1,PT9,Infy@123,CTDA,,,,successfully,FCB-10184
FCB-10185,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD9M_ByMaker_L1,PT9,Infy@123,CTDA,,,,successfully,FCB-10186
FCB-10187,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD1Y_ByMaker_M1,PT9,Infy@123,CTDA,,,,successfully,FCB-10188
FCB-10189,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD2Y_ByMaker_N1,PT9,Infy@123,CTDA,,,,successfully,FCB-10190
FCB-10191,IslamicBanking_WakalahTUA_Preclose_WakalahTUA_WTD3Y_ByMaker_O1,PT9,Infy@123,CTDA,,,,successfully,FCB-10192
FCB-22629,IslamicBanking_WakalahTUA_Preclose_WTD1Y_Account_Monthly_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22637
FCB-22630,IslamicBanking_WakalahTUA_Preclose_WTD2Y_Account_Monthly_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22638
FCB-22631,IslamicBanking_WakalahTUA_Preclose_WTD3Y_Account_Monthly_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22639
FCB-22632,IslamicBanking_WakalahTUA_Preclose_WTD1Y_Account_Quarterly_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22640
FCB-22633,IslamicBanking_WakalahTUA_Preclose_WTD2Y_Account_Quarterly_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22641
FCB-22634,IslamicBanking_WakalahTUA_Preclose_WTD3Y_Account_Quarterly_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22642
FCB-22627,IslamicBanking_WakalahTUA_Preclose_AlKhayr3Years_Account_Monthly_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22635
FCB-22628,IslamicBanking_WakalahTUA_Preclose_AlKhayr3Years_Account_Annually_ByMaker,PT9,Infy@123,CTDA,,,,successfully,FCB-22636
