tcId,summary,username,password,menu,cifType,cifAge,cif,SchemeCode,ccy,expectedResult,reference,linkedTcid
FCB-577,Liabilities_CASA_CreateAccount_Retail_CAA_Maker,PT47,Infy@123,OCA,Retail,Adult,'006640881,1009,EGP,opened successfully,'10090066408801142,FCB-583
FCB-5777,Liabilities_CASA_Create_CurrentA/C_CHL_1000_EGP_Maker,PT47,Infy@123,OCA,Retail,Adult,'006640887,1000,EGP,opened successfully,'10000066408801150,FCB-5778
FCB-5779,Liabilities_CASA_Create_CurrentA/C_CHF_EUR_Maker,PT47,Infy@123,OCA,Retail,Adult,'006645865,1006,EUR,opened successfully,'10060066458603247,FCB-5780
FCB-5781,Liabilities_CASA_Create_CurrentA/C_CHF_USD_Maker,PT47,Infy@123,OCA,Retail,Adult,'006660900,1006,USD,opened successfully,'10060066609002055,FCB-5782
FCB-5783,Liabilities_CASA_Create_CurrentA/C_CHF_1006_GBP_Maker,PT47,Infy@123,OCA,Retail,Adult,'006640870,1006,GBP,opened successfully,,FCB-5784
FCB-5785,Liabilities_CASA_Create_CurrentA/C_CSL_1007_EGP_Maker,PT47,Infy@123,OCA,Staff,Adult,'03504608,1007,EGP,opened successfully,'10070371225301015,FCB-5786
FCB-5787,Liabilities_CASA_Create_CurrentA/C_CSF_GBP_Maker,PT47,Infy@123,OCA,Staff,Adult,'03012279,1008,GBP,opened successfully,'10080371503704016,FCB-5788
FCB-5789,Liabilities_CASA_Create_CurrentA/C_CSF_EUR_Maker,PT47,Infy@123,OCA,Staff,Adult,'06239005,1008,EUR,opened successfully,'10080467490303010,FCB-5790
FCB-5791,Liabilities_CASA_Create_CurrentA/C_CSF_USD_Maker,PT47,Infy@123,OCA,Staff,Adult,'06157796,1008,USD,opened successfully,,FCB-5792
FCB-5793,Liabilities_CASA_Create_CurrentA/C_CLO_EGP_Maker,PT47,Infy@123,OCA,Retail,Adult,'006660904,1001,EGP,opened successfully,'10010066609001068,FCB-5794
FCB-5795,Liabilities_CASA_Create_CurrentA/C_FRM_EGP_Maker,PT47,Infy@123,OCA,Retail,Adult,'006670880,1002,EGP,opened successfully,'10020066708801038,FCB-5796
FCB-5797,Liabilities_CASA_Create_CurrentA/C_CLS_1003_EGP_Maker,PT47,Infy@123,OCA,Corporate,Adult,'06596017,1003,EGP,opened successfully,,FCB-5798
FCB-5799,Liabilities_CASA_Create_CurrentA/C_SAL_1004_EGP_Maker,PT47,Infy@123,OCA,Retail,Adult,'006660919,1004,EGP,opened successfully,'10040066609101033,FCB-5800
FCB-5801,Liabilities_CASA_Create_CurrentA/C_CIU_EGP_Maker,PT47,Infy@123,OCA,Retail,Adult,'006655869,1005,EGP,opened successfully,'10050066558601021,FCB-5802
FCB-5803,Liabilities_CASA_Create_CurrentA/C_HVR_EGP_Maker,PT47,Infy@123,OCA,Corporate,Adult,'06614065,1111,EGP,opened successfully,,FCB-5804
