tcId,summary,username,password,menu,cifType,cifAge,cif,SchemeCode,ccy,expectedResult,reference,linkedTcid
FCB-5747,Liabilities_CASA_Create_SavingA/C_SHL_EGP_Maker,PT50,Infy@123,OSA,Retail,Adult,'006640865,1106,EGP,successfully,'11060066408601128,FCB-5748
FCB-5761,Liabilities_CASA_Create_SavingA/C_SSL_1105_EGP_Maker,PT50,Infy@123,OSA,staff,Adult,'03531326,1105,EGP,successfully,'11050353132601018,FCB-5762
FCB-5763,Liabilities_CASA_Create_SavingA/C_SSF_USD_Maker,PT50,Infy@123,OSA,staff,Adult,'05073628,1103,USD,successfully,,FCB-5764
FCB-5765,Liabilities_CASA_Create_SavingA/C_SSF_EUR_Maker,PT50,Infy@123,OSA,staff,Adult,'05433321,1103,EUR,successfully,,FCB-5766
FCB-5767,Liabilities_CASA_Create_SavingA/C_SSF_1103_GBP_Maker,PT50,Infy@123,OSA,staff,Adult,'05093081,1103,GBP,successfully,,FCB-5768
FCB-5769,Liabilities_CASA_Create_SavingA/C_YSL_1110_EGP_Maker,PT50,Infy@123,OSA,Retail,Minor,,1110,EGP,successfully,,FCB-5770
FCB-5771,Liabilities_CASA_Create_SavingA/C_YSF_EUR_Maker,PT50,Infy@123,OSA,Retail,Minor,,1102,EUR,successfully,,FCB-5772
FCB-5773,Liabilities_CASA_Create_SavingA/C_YSF_USD_Maker,PT50,Infy@123,OSA,Retail,Minor,,1102,USD,successfully,,FCB-5774
FCB-5775,Liabilities_CASA_Create_SavingA/C_YSF_1102_GBP_Maker,PT50,Infy@123,OSA,Corporate,Minor,,1102,GBP,successfully,,FCB-5776
FCB-576,Liabilities_CASA_CreateAccount_Retail_SBA_Maker,PT50,Infy@123,OSA,Retail,Adult,'006670846,1100,EGP,successfully,'11000066708401026,FCB-582
FCB-5741,Liabilities_CASA_Create_SavingA/C_SHF_EUR_Maker,PT50,Infy@123,OSA,Retail,Adult,'006670860,1104,EUR,successfully,,FCB-5742
FCB-5743,Liabilities_CASA_Create_SavingA/C_SHF_USD_Maker,PT50,Infy@123,OSA,Retail,Adult,'006660938,1104,USD,successfully,'11040066609302022,FCB-5744
FCB-5745,Liabilities_CASA_Create_SavingA/C_SHF_GBP_1104_Maker,PT50,Infy@123,OSA,Retail,Adult,'006640871,1104,GBP,successfully,,FCB-5746
