"tcId","summary","username","password","menu","cifType","cif","DepositType","schemeCode","ccy","initialDepositAmmount","debitAcId","expectedResult","reference","dailyPeriod","monthlyPeriod","linkedTcid"
"FCB-2753","Liabilities_CD_Create_EGP_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1165","EGP","1000","","Account opened successfully","'1165006640850100344","0","36","FCB-2754"
"FCB-2779","Liabilities_Deposit_Create_Certificates_CD3M_EGP_Monthly_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1165","EGP","1000","","Account opened successfully","'1165006640850100353","0","36","FCB-2780"
"FCB-2782","Liabilities_Deposit_Create_Certificates_CD3Q_EGP_Quarertly_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1171","EGP","500","","Account opened successfully","'1171006640850100363","0","36","FCB-2783"
"FCB-5808","Liabilities_Deposit_Create_Certificates_HASAD_EGP_Monthly_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1188","EGP","500","","Account opened successfully","'1188006640850100372","0","36","FCB-5809"
"FCB-5811","Liabilities_Deposit_Create_Certificates_MASAYA_EGP_Monthly_Maker","PT49","Infy@123","INSTTD","Corporate","","CD","1189","EGP","50000","","Account opened successfully","'1189066049400100029","0","36","FCB-5812"
"FCB-5820","Liabilities_Deposit_Create_Certificates_NAMAACD_EGP_Monthly_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1166","EGP","1000","","Account opened successfully","'1166006640850100389","0","60","FCB-5821"
"FCB-10972","Liabilities_Create_Certificates_CD3M_EGP_MinimumAmount_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1165","EGP","500","","Account opened successfully","'1165006640850100399","0","36","FCB-10973"
"FCB-10978","Liabilities_Create_Certificates_CD3Q_EGP_MinimumAmount_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1171","EGP","500","","Account opened successfully","'1171006640850100406","0","36","FCB-10979"
"FCB-10980","Liabilities_Create_Certificates_USDCDQ_1163_USD_MinimumAmount_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1163","USD","500","","Account opened successfully","'1163006640880200324","0","36","FCB-10981"
"FCB-10982","Liabilities_Create_Certificates_EURCDQ_1164_EUR_MinimumAmount_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1164","EUR","500","","Account opened successfully","","0","36","FCB-10983"
"FCB-10991","Liabilities_Create_Certificates_HASAD_Annually_EGP_3Years_Maker","PT49","Infy@123","INSTTD","Corporate","","CD","1173","EGP","4000","","Account opened successfully","","0","36","FCB-10992"
"FCB-new","Liabilities_Create_Certificates_AMAN_RetailCIF_Amount500_114_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1168","EGP","500","","Account opened successfully","'1168006640850100411","0","36","FCB-new"
"FCB-17204","Liabilities_Create_Certificates_AMAN_RetailCIF_Amount1000_115_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1167","EGP","1000","","Account opened successfully","'1167006640850100421","0","36","FCB-17205"
"FCB-17210","Liabilities_Create_Certificates_AMAN_RetailCIF_Amount2500_115_Maker","PT49","Infy@123","INSTTD","Retail","","CD","1167","EGP","2500","","Account opened successfully","","0","36","FCB-17211"
