tcId,summary,username,password,menu,docNumber,corporateCusType,commercialNameAR,tradeNameAR,legalcompanyNameEN,commericalNameEN,tradeNameEN,entityType,subEntitType,establishmentDate,countryOfIncoporation,issueDateIDSummary,addressLine1,cityAddress,governorateAddress,countryAddress,phoneNumber,industryType,bankRelationType,busStartDate,countryEstablishment,residencyCountry,relationCIFID,relationCIFENRICH,expectedResult,cif,linkedTcid
FCB-10209,Customer_Corporate_Create_CustomerToBeExisted_SocietyCorp_EGP_ByMaker_A1,PT164,Infy@123,CECC,'254687151232852891,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657985,'034,Customer,'25102023,EG,EG,'006670880,'006645860,successfully,'006720891,FCB-10210
FCB-10211,Customer_Corporate_Create_CustomerToBeExisted_OffShoreCorp_EGP_ByMaker_A1,PT164,Infy@123,CECC,'2546871512328528492,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657986,'034,Customer,'25102023,EG,EG,'006640856,'006645860,successfully,'006720892,FCB-10212
FCB-10213,Customer_Corporate_Create_CustomerToBeExisted_LimitedCorp_EGP_ByMaker_A1,PT164,Infy@123,CECC,'2546871512328528493,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657987,'034,Customer,'25102023,EG,EG,'006640882,'006645860,successfully,'006720893,FCB-10214
FCB-10215,Customer_Corporate_Create_CustomerToBeExisted_GOVCorp_EGP_ByMaker_A1,PT164,Infy@123,CECC,'2546871512328528474,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657988,'034,Customer,'25102023,EG,EG,'006655869,'006645860,successfully,,FCB-10216
FCB-10217,Customer_Corporate_Create_CustomerToBeExisted_NGOCorp_EGP_ByMaker_A1,PT164,Infy@123,CECC,'2546871512328528495,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657989,'034,Customer,'25102023,EG,EG,'006670877,'006645860,successfully,'006720894,FCB-10218
FCB-2483,Customer_Corporate_Create_CustomerToBeExisted_withExistingRelationships_EGP_ByMaker_A1,PT164,Infy@123,CECC,'2546871512328528496,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657990,'034,Customer,'25102023,EG,EG,'006640864,'006645860,successfully,'006720895,FCB-2484
FCB-2485,Customer_Corporate_Create_CustomerToBeExisted_withProspectRelationships_EGP_ByMaker_B1,PT164,Infy@123,CECC,'2546871512328528497,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657991,'034,Customer,'25102023,EG,EG,'006720850,'006645860,successfully,'006720896,FCB-2486
FCB-2487,Customer_Corporate_Enrich_ExistingCustomer_EGP_ByMaker_C1,PT164,Infy@123,CECC,'2546871512328528498,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657992,'034,Customer,'25102023,EG,EG,'006660904,'006645860,successfully,'006720897,FCB-2488
FCB-2489,Customer_Corporate_Enrich_ProspectCustomer_EGP_ByMaker_D1,PT164,Infy@123,CECC,'2546871512328528499,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657993,'034,Customer,'25102023,EG,EG,'006660904,'006645860,successfully,'006720898,FCB-2490
FCB-2516,Customer_Corporate_Create_CorporateCustomer_CHF_ByMaker_K1,PT164,Infy@123,CECC,'2546871512328528500,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657995,'034,Customer,'25102023,EG,EG,'006645862,'006645860,successfully,'006720899,FCB-2517
FCB-2553,Customer_Corporate_Create_CustomerToBeExisted_USD_ByMaker_T1,PT164,Infy@123,CECC,'2546871512328528501,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657996,'034,Customer,'25102023,EG,EG,'006640889,'006645860,successfully,'006720900,FCB-2554
FCB-2555,Customer_Corporate_Create_CustomerToBeExisted_Euro_ByMaker_U1,PT164,Infy@123,CECC,'2546871512328528502,Customer,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657997,'034,Customer,'25102023,EG,EG,'006660958,'006645860,successfully,'006720901,FCB-2556
FCB-2558,Customer_Corporate_Create_ProspectCustomer_EGP_ByMaker_V1,PT164,Infy@123,CECC,'2546871512328528503,Prospect,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657995,'034,Customer,'25102023,EG,EG,'006660955,'006645860,successfully,'006720903,FCB-2559
FCB-2560,Customer_Corporate_Create_ProspectCustomer_USD_ByMaker_W1,PT164,Infy@123,CECC,'2546871512328528504,Prospect,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657996,'034,Customer,'25102023,EG,EG,'006660919,'006645860,successfully,'006720904,FCB-2561
FCB-2562,Customer_Corporate_Create_ProspectCustomer_Euro_ByMaker_X1,PT164,Infy@123,CECC,'2546871512328528505,Prospect,,,TEST,TEST,TEST,5,553,'26112023,EG,19122023,MAADI,'256,'017,EG,1324657997,'034,Customer,'25102023,EG,EG,'006660955,'006645860,successfully,'006720905,FCB-2563
