tcId,summary,username,password,menu,cif,DepositType,schemeCode,ccy,initialDepositAmmount,debitAcId,expectedResult,reference,dailyPeriod,monthlyPeriod,linkedTcid
FCB-11191,Liabilities_Create_TimeDeposit_TM2_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,'006640881,TD,1153,EGP,500,'10110066408801011,Account opened successfully,'1153006640860101183,0,2,FCB-11192
FCB-11254,Liabilities_Deposit_Create_TimeDeposit_TY3_EUR_3YEAR_Maker,PT49,Infy@123,INSTTD,,TD,1156,EUR,500,,Account opened successfully,,0,36,FCB-11255
FCB-11177,Liabilities_Deposit_Create_TimeDeposit_TM1_EUR_1MON_Maker,PT49,Infy@123,INSTTD,,TD,1159,EUR,500,,Account opened successfully,'1159006640860301192,,,FCB-11178
FCB-11188,Liabilities_Deposit_Create_TimeDeposit_TM2_EUR_2MON_Maker,PT49,Infy@123,INSTTD,,TD,1153,EUR,500,,Account opened successfully,'1153006640860301204,,,FCB-11189
FCB-11167,Liabilities_Create_TimeDeposit_TW7_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,'006645866,TD,1157,EGP,500,'11090066458601102,Account opened successfully,'1157006640880100102,0,7,FCB-11168
FCB-11199,Liabilities_Deposit_Create_TimeDeposit_TM3_EUR_3MON_Maker,PT49,Infy@123,INSTTD,,TD,1154,EUR,500,,Account opened successfully,'1154006640860301210,,,FCB-11200
FCB-11210,Liabilities_Deposit_Create_TimeDeposit_TM6_EUR_6MON_Maker,PT49,Infy@123,INSTTD,,TD,1155,EUR,500,,Account opened successfully,'1155006640860301226,,,FCB-11211
FCB-11232,Liabilities_Deposit_Create_TimeDeposit_TY1_EUR_1YEAR_Maker,PT49,Infy@123,INSTTD,,TD,1150,EUR,500,,Account opened successfully,'1150006640860301238,,,FCB-11233
FCB-11245,Liabilities_Deposit_Create_TimeDeposit_TY2_EUR_2YEAR_Maker,PT49,Infy@123,INSTTD,,TD,1151,EUR,500,,Account opened successfully,,0,24,FCB-11244
FCB-11235,Liabilities_Create_TimeDeposit_TY1_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1150,EGP,500,,Account opened successfully,'1150006640870100128,0,12,FCB-11236
FCB-11326,Liabilities_Deposit_Create_TimeDeposit_TY7Q_EGP_7YEAR_QuartlyInterest_Maker,PT49,Infy@123,INSTTD,,TD,1185,EGP,500,,Account opened successfully,,0,84,FCB-11327
FCB-11329,Liabilities_Create_TimeDeposit_TY7Q_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1185,EGP,500,,Account opened successfully,,0,84,FCB-11330
FCB-2894,Liabilities_Deposit_Create_TimeDeposit_TW14_EGP_2week_Maker,PT49,Infy@123,INSTTD,,TD,1158,EGP,500,,Account opened successfully,'1158006645860100117,14,0,FCB-2895
FCB-2912,Liabilities_Deposit_Create_TimeDeposit_TY1_EGP_1YEAR_Maker,PT49,Infy@123,INSTTD,,TD,1150,EGP,950,,Account opened successfully,'1150006645860100124,0,12,FCB-2913
FCB-11248,Liabilities_Deposit_Create_TimeDeposit_TY3_USD_3YEAR_Maker,PT49,Infy@123,INSTTD,,TD,1156,USD,500,,Account opened successfully,,0,36,FCB-11249
FCB-11257,Liabilities_Create_TimeDeposit_TY3_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1156,EGP,500,,Account opened successfully,'1156006640860101241,0,12,FCB-11258
FCB-11169,Liabilities_Create_TimeDeposit_TW14_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1158,EGP,500,,Account opened successfully,'1158006640870100139,14,0,FCB-11170
FCB-11171,Liabilities_Deposit_Create_TimeDeposit_TM1_USD_1MON_Maker,PT49,Infy@123,INSTTD,,TD,1159,USD,500,,Account opened successfully,'1159006640880200118,,,FCB-11172
FCB-11180,Liabilities_Create_TimeDeposit_TM1_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1159,EGP,700,,Account opened successfully,'1159006640850100158,,,FCB-11181
FCB-11182,Liabilities_Deposit_Create_TimeDeposit_TM2_USD_2MON_Maker,PT49,Infy@123,INSTTD,,TD,1153,USD,500,,Account opened successfully,'1153006640880200123,,,FCB-11183
FCB-11193,Liabilities_Deposit_Create_TimeDeposit_TM3_USD_3MON_Maker,PT49,Infy@123,INSTTD,,TD,1154,USD,500,,Account opened successfully,'1154006640850200161,,,FCB-11194
FCB-11202,Liabilities_Create_TimeDeposit_TM3_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1154,EGP,500,,Account opened successfully,'1154006640870100142,,,FCB-11203
FCB-11204,Liabilities_Deposit_Create_TimeDeposit_TM6_USD_6MON_Maker,PT49,Infy@123,INSTTD,,TD,1155,USD,500,,Account opened successfully,'1155006640840200017,,,FCB-11205
FCB-11213,Liabilities_Create_TimeDeposit_TM6_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1155,EGP,600,,Account opened successfully,'1155006640870100150,,,FCB-11214
FCB-11226,Liabilities_Deposit_Create_TimeDeposit_TY1_USD_1YEAR_Maker,PT49,Infy@123,INSTTD,,TD,1150,USD,500,,Account opened successfully,'1150006645860200132,,,FCB-11227
FCB-11237,Liabilities_Deposit_Create_TimeDeposit_TY2_USD_2YEAR_Maker,PT49,Infy@123,INSTTD,,TD,1151,USD,500,,Account opened successfully,,0,24,FCB-11238
FCB-11246,Liabilities_Create_TimeDeposit_TY2_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1151,EGP,500,,Account opened successfully,'1151006640890100062,,,FCB-11247
FCB-11268,Liabilities_Create_TimeDeposit_TY5_EGP_MinimumAmount_Maker,PT49,Infy@123,INSTTD,,TD,1152,EGP,500,,Account opened successfully,,,,FCB-11269
FCB-11281,Liabilities_Deposit_Create_TimeDeposit_TY1M_EGP_1YEAR_MonthlyInterest_Maker,PT47,Infy@123,INSTTD,,TD,1176,EGP,500,,Account opened successfully,'1176006645860100140,,,FCB-11282
FCB-11284,Liabilities_Create_TimeDeposit_TY1M_EGP_MinimumAmount_Maker,PT47,Infy@123,INSTTD,,TD,1176,EGP,500,,Account opened successfully,'1176006645860100159,,,FCB-11285
FCB-11286,Liabilities_Deposit_Create_TimeDeposit_TY2M_EGP_2YEAR_MonthlyInterest_Maker,PT47,Infy@123,INSTTD,,TD,1178,EGP,500,,Account opened successfully,'1178006640870100160,,,FCB-11287
FCB-11289,Liabilities_Create_TimeDeposit_TY2M_EGP_MinimumAmount_Maker,PT47,Infy@123,INSTTD,,TD,1178,EGP,500,,Account opened successfully,'1178006640870100179,,,FCB-11290
FCB-11291,Liabilities_Deposit_Create_TimeDeposit_TY3M_EGP_3YEAR_MonthlyInterest_Maker,PT47,Infy@123,INSTTD,,TD,1180,EGP,500,,Account opened successfully,'1180006640880100137,,,FCB-11292
FCB-11306,Liabilities_Deposit_Create_TimeDeposit_TY1Q_EGP_1YEAR_QuartlyInterest_Maker,PT47,Infy@123,INSTTD,,TD,1177,EGP,500,,Account opened successfully,'1177006640890100077,,,FCB-11305
FCB-11309,Liabilities_Create_TimeDeposit_TY1Q_EGP_MinimumAmount_Maker,PT47,Infy@123,INSTTD,,TD,1177,EGP,500,,Account opened successfully,'1177006640880100142,,,FCB-11307
FCB-11311,Liabilities_Deposit_Create_TimeDeposit_TY2Q_EGP_2YEAR_QuartlyInterest_Maker,PT47,Infy@123,INSTTD,,TD,1179,EGP,500,,Account opened successfully,'1179006640880100159,,,FCB-11310
FCB-11314,Liabilities_Create_TimeDeposit_TY2Q_EGP_MinimumAmount_Maker,PT47,Infy@123,INSTTD,,TD,1179,EGP,500,,Account opened successfully,'1179006645860100165,,,FCB-11312
FCB-11316,Liabilities_Deposit_Create_TimeDeposit_TY3Q_EGP_3YEAR_QuartlyInterest_Maker,PT47,Infy@123,INSTTD,,TD,1181,EGP,500,,Account opened successfully,'1181006640860101254,,,FCB-11315
FCB-11319,Liabilities_Create_TimeDeposit_TY3Q_EGP_MinimumAmount_Maker,PT47,Infy@123,INSTTD,,TD,1181,EGP,500,,Account opened successfully,'1181006640850100175,,,FCB-11317
FCB-11294,Liabilities_Create_TimeDeposit_TY3M_EGP_MinimumAmount_Maker,PT47,Infy@123,INSTTD,,TD,1180,EGP,500,,Account opened successfully,,,,FCB-11320
FCB-2844,Liabilities_TimeDeposit_CreateTimeDeposit_EGP_Maker,PT47,Infy@123,INSTTD,,TD,1160,EGP,500,,Account opened successfully,,,,FCB-10947
FCB-2890,Liabilities_Deposit_Create_TimeDeposit_TW7_EGP_1week_Maker,PT47,Infy@123,INSTTD,,TD,1157,EGP,500,,Account opened successfully,'1157006665840100046,,,FCB-2892
FCB-2897,Liabilities_Deposit_Create_TimeDeposit_TM1_EGP_1MON_Maker,PT47,Infy@123,INSTTD,,TD,1159,EGP,600,,Account opened successfully,'1159006640870100183,,,FCB-2898
FCB-2900,Liabilities_Deposit_Create_TimeDeposit_TM2_EGP_2MON_Maker,PT47,Infy@123,INSTTD,,TD,1153,EGP,500,,Account opened successfully,'1153006640860101268,0,2,FCB-2901
FCB-2903,Liabilities_Deposit_Create_TimeDeposit_TM3_EGP_3MON_Maker,PT47,Infy@123,INSTTD,,TD,1154,EGP,500,,Account opened successfully,,,,FCB-2904
FCB-2906,Liabilities_Deposit_Create_TimeDeposit_TM6_EGP_6MON_Maker,PT47,Infy@123,INSTTD,,TD,1155,EGP,500,,Account opened successfully,'1155006645860100174,,,FCB-2907
FCB-2915,Liabilities_Deposit_Create_TimeDeposit_TY2_EGP_2YEAR_Maker,PT47,Infy@123,INSTTD,,TD,1151,EGP,500,,Account opened successfully,'1151006640850100183,,,FCB-2916
FCB-2918,Liabilities_Deposit_Create_TimeDeposit_TY3_EGP_3YEAR_Maker,PT47,Infy@123,INSTTD,,TD,1156,EGP,800,,Account opened successfully,'1156006640870100195,,,FCB-2919
