"tcId","summary","username","password","menu","accountId2","types","expiryDate","frequencyMonth","frequencyDay","dropdownMenu","drawingPowerPrecentage","limitId1","limitId2","expectedResult"
"FCB-22480","Assets_ODA_Retail_ModifyBeforeVerify_EditExpiryDateField_EGP_ByMaker_A3","PT103","Infy@123","MOOAV","'50000661730401612","Secured","""03/10/2027","","","","","","","successfully"
"FCB-22481","Assets_ODA_Retail_ModifyBeforeVerify_EditFrequencyField_EGP_ByMaker_T3","PT105","Infy@123","MOOAV","'50000661730401621","Secured","","10","20","","","","","successfully"
"FCB-22482","Assets_ODA_Retail_ModifyBeforeVerify_EditExpiryDateField_EGP_ByMaker_J3","PT103","Infy@123","MOOAV","'50000661730401630","Secured","""03/10/2028","","","","","","","successfully"
"FCB-13339","Assets_ODA_Retail_ModifyBeforeVerify_EditExpiryDateField_EGP_ByChecker_B1","PT105","Infy@123","MOOAV","'50000661730401649","Secured","""03/10/2029","","","","","","","successfully"
"FCB-13341","Assets_ODA_Retail_ModifyBeforeVerify_EditStatementFrequencyField_EGP_ByChecker_C1","PT103","Infy@123","MOOAV","'50000661730401658","Secured","","12","30","","","","","successfully"
"FCB-22470","Assets_ODA_Corporate_Modify_OverdraftAccount_Secured_SOVD_SecuredOverDraft_LinkSingleDepositCollateral_EGP_ByChecker_A3","PT105","Infy@123","MOOAV","'50220657783201105","Secured","""03/10/2027","","","","","","","successfully"
"FCB-13349","Assets_ODA_Retail_Modify_DrawingPower_Derived_ForSecuredOverdraft_EGP_ByMaker_E1","PT103","Infy@123","MOOAV","'50130619237101115","Unsecured","","","","Derived","","","","successfully"
"FCB-22478","Assets_ODA_Corporate_Modify_OverdraftAccount_Secured_SOVD_LinkMultipleDepositCollateral_EGP_ByChecker_W3","PT105","Infy@123","MOOAV","'50220657782801111","Secured","","10","20","","","","","successfully"
"FCB-22479","Assets_ODA_Corporate_Modify_SecuredOverdraftAccount_ModifyLoanToValue_EGP_ByMaker_L3","PT103","Infy@123","MOOAV","'50220657782701103","Secured","""03/10/2028","","","","","","","successfully"
"FCB-13882","Assets_ODA_Corporate_ModifyBeforeVerify_EditExpiryDateField_EGP_ByMaker_C1","PT105","Infy@123","MOOAV","'50130379949001113","Secured","""03/10/2029","","","","","","","successfully"
"FCB-13884","Assets_ODA_Corproate_ModifyBeforeVerify_EditStatement FrequencyField_EGP_ByMaker_D1","PT103","Infy@123","MOOAV","'50130377333302127","Secured","","12","30","","","","","successfully"
"FCB-13894","Assets_ODA_Corporate_Modify_DrawingPower_Maintained_EGP_ByMaker_F1","PT105","Infy@123","MOOAV","'50130378271501111","Unsecured","","","","Maintained","","","","successfully"
"FCB-13896","Assets_ODA_Corporate_Modify_DrawingPower_Derived_ForSecuredOverdraft_EGP_ByMaker_G1","PT103","Infy@123","MOOAV","'50130378595101103","Unsecured","","","","Derived","","","","successfully"
"FCB-13900","Assets_ODA_Corporate_Modify_DrawingPower_Parent_EGP_ByMaker_I1","PT105","Infy@123","MOOAV","'50130379904401109","Unsecured","","","","Parent","100","""06617304X","NFBLM","successfully"
"FCB-13898","Assets_ODA_Corporate_Modify_DrawingPower_Equal_EGP_ByMaker_H1","PT103","Infy@123","MOOAV","'50130377150101105","Unsecured","","","","Equal","","","","successfully"
