tcId,summary,username,password,menu,cif,schemeCode,accountOpeningDate,loanAmount,loanPeriodMonths,loanPeriodDays,equatedInstallment,numberOfInstallments,installmentFrequency,installmentStartDate,date,interestFrequency,interestStartDate,operativeAccountId,expiryDate,documentDate,limitIdPrefix,limitIdSuffix,drawingPowerIndicator,expectedResult,reference,linkedTcid,modifyLinkedTcid,disburseLinkedTcid
FCB-12204,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSMK_EGP_ByMaker_BE1,PT17,Infy@123,OCLA,'06608507,2292,'14-01-2024,10000,12,0,yes,12,monthly,'14-01-2024,17,,,'10100660850701001,'14-01-2025,'14-01-2024,'LIM417,'TFBLM,equal,successfully,'2292066085070100019 ,FCB-12013,FCB-12012,FCB-12039
FCB-12206,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSFT_EGP_ByMaker_BF1,PT17,Infy@123,OCLA,'06600594,2293,'14-01-2024,50000,6,0,no,1,bullet,'14-01-2024,17,monthly,'15-01-2024,'10100660059401003,'14-07-2024,'14-01-2024,'LIM1012,'NFBLM,equal,successfully,,FCB-12022,FCB-12021,FCB-12041
FCB-12208,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSMCB_EGP_ByMaker_BG1,PT17,Infy@123,OCLA,'06594951,2294,'14-01-2024,100000,12,0,yes,12,monthly,'14-01-2024,17,,,'10100659495101001,'14-01-2025,'14-01-2024,'06579661,'TFBLM,equal,successfully,'2294065949510100010 ,FCB-12024,FCB-12023,FCB-12043
FCB-12210,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSSCB_EGP_ByMaker_BH1,PT17,Infy@123,OCLA,'06599760,2295,'14-01-2024,70000,12,0,yes,4,quarterly,'14-01-2024,17,,,'10100659976001001,'14-01-2025,'14-01-2024,'06617304X,'TLCLM,equal,successfully,'2295065997600100014 ,FCB-12026,FCB-12025,FCB-12045
FCB-12212,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CPOLN_EGP_ByMaker_BI1,PT17,Infy@123,OCLA,'06589501,2296,'14-01-2024,200000,24,0,yes,24,monthly,'14-01-2024,17,,,'10100658950101001,'14-01-2026,'14-01-2024,'06578091,'NFBLM,equal,successfully,'2296065895010100013 ,FCB-12028,FCB-12027,FCB-12047
FCB-22643,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSMK_EGP_ByMaker_BE1,PT17,Infy@123,OCLA,'06580509,2292,'14-01-2024,10000,12,0,yes,12,monthly,'14-01-2024,17,,,'10100658050901001,'14-01-2025,'14-01-2024,'LIM13,'TFBLM,equal,successfully,'2292065805090100016 ,FCB-12205,,FCB-12049
FCB-22644,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CLSFT_EGP_ByMaker_BF1,PT17,Infy@123,OCLA,'06578550,2293,'14-01-2024,50000,6,0,no,1,bullet,'14-01-2024,17,monthly,'15-01-2024,'10100657855001001,'14-07-2024,'14-01-2024,'LIM1011,'TFBLM,equal,successfully,,FCB-12207,,FCB-12051
FCB-22645,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSMCB_EGP_ByMaker_BG1,PT17,Infy@123,OCLA,'06599760,2294,'14-01-2024,100000,12,0,yes,12,monthly,'14-01-2024,17,,,'10100659976001001,'14-01-2025,'14-01-2024,'1,'CUSTL,equal,successfully,'2294065997600100022 ,FCB-12209,,FCB-22648
FCB-22646,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_LSSCB_EGP_ByMaker_BH1,PT17,Infy@123,OCLA,'06603376,2295,'14-01-2024,70000,12,0,yes,4,quarterly,'14-01-2024,17,,,'10100660337601001,'14-01-2025,'14-01-2024,'LIM12,'TFBLM,equal,successfully,'2295066033760100013 ,FCB-12211,,FCB-22649
FCB-22647,Assets_CLA_Corporate_OpenLoan_Unsecured_Floating_CPOLN_EGP_ByMaker_BI1,PT17,Infy@123,OCLA,'06607122,2296,'14-01-2024,200000,24,0,yes,24,monthly,'14-01-2024,17,,,'10100660712201001,'14-01-2026,'14-01-2024,'LIM30,'TFBLM,equal,successfully,'2296066071220100011 ,FCB-12213,,FCB-22650
