tcId,summary,username,password,menu,cif,schemeCode,accountOpeningDate,assetValue,customerMargin,financePeriodMonths,financePeriodDays,debitAccountId,equatedInstallment,numberOfInstallments,installmentFrequency,installmentStartDate,date,profitFrequency,profitStartDate,operativeAccountId,expiryDate,documentDate,limitIdPrefix,limitIdSuffix,drawingPowerIndicator,expectedResult,reference,linkedTcid,disburseTcid
FCB-9938,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_CarsShortTerm_4010_ByMaker_B1,PT11,Infy@123,OIFAT,'06611109,4010,'15-01-2024,10000,2000,12,0,'16060661110901001,yes,12,monthly,'16-01-2024,10,,,'16060661110901001,15/01/2025,'15-01-2024,'LIM19,'TFBLM,equal,successfully,'4010066111090100013 ,FCB-9973,FCB-10020
FCB-9940,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceShortTerm_4012_ByMaker_B3,PT11,Infy@123,OIFAT,'06607365,4012,'15-01-2024,100000,0,12,0,'16060660736501001,yes,12,monthly,'16-01-2024,10,,,'16060660736501001,15/01/2025,'15-01-2024,'LIM23,'TFBLM,equal,successfully,'4012066073650100025 ,FCB-9975,FCB-10022
FCB-9939,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_CarsMedium&LongTerm_4011_ByMaker_B2,PT11,Infy@123,OIFAT,'06606501,4011,'15-01-2024,50000,0,24,0,'16060660650101001,no,1,,'16-01-2024,10,monthly,'16-01-2024,'16060660650101001,15/01/2026,'15-01-2024,'LIM30,'TFBLM,equal,successfully,'4011066065010100012 ,FCB-9974,FCB-10021
FCB-9941,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_RetailProjectsShortTerm_4013_ByMaker_B4,PT11,Infy@123,OIFAT,'06604382,4013,'15-01-2024,70000,30000,12,0,'16060660438201001,yes,4,quarterly,'16-01-2024,10,,,'16060660438201001,15/01/2025,'15-01-2024,'LIM29,'CUSTL,equal,successfully,'4013066043820100013 ,FCB-9976,FCB-10023
FCB-9942,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_RetailProjectsMedium&LongTerm_4014_ByMaker_B5,PT11,Infy@123,OIFAT,'06581683,4014,'15-01-2024,200000,50000,24,0,'16060658168301001,yes,24,monthly,'16-01-2024,10,,,'16060658168301001,15/01/2026,'15-01-2024,'1217,'TFBLM,equal,successfully,'4014065816830100012 ,FCB-9977,FCB-10024
FCB-9943,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_LivestockShortTerm_4015_ByMaker_B6,PT11,Infy@123,OIFAT,'06607365,4015,'15-01-2024,90000,0,12,0,'16060660736501001,yes,2,half yearly,'16-01-2024,10,,,'16060660736501001,15/01/2025,'15-01-2024,'LIM30,'TFBLM,equal,successfully,'4015066073650100039 ,FCB-9978,FCB-10025
FCB-9944,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_LivestockMedium&LongTerm_4016_ByMaker_B7,PT11,Infy@123,OIFAT,'06584256,4016,'15-01-2024,200000,0,24,0,'16100658425601027,yes,24,monthly,'16-01-2024,10,,,'16100658425601027,15/01/2026,'15-01-2024,'LIM18,'NFBLM,equal,successfully,'4016065842560101155 ,FCB-9979,FCB-10026
FCB-9945,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceCBEShortTerm_4017_ByMaker_B8,PT11,Infy@123,OIFAT,'06606501,4017,'15-01-2024,100000,0,12,0,'16060660650101001,yes,48,weekly,'16-01-2024,10,,,'16060660650101001,15/01/2025,'15-01-2024,'LIM5,'CUSTL,equal,successfully,'4017066065010100023 ,FCB-9980,FCB-10027
FCB-9946,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_MicroFinanceCBEMedium&LongTerm_4018_ByMaker_B9,PT11,Infy@123,OIFAT,'06581683,4018,'15-01-2024,80000,0,24,0,'16060658168301001,no,1,,'16-01-2024,10,weekly,'16-01-2024,'16060658168301001,15/01/2026,'15-01-2024,'LIM1008,'TFBLM,equal,successfully,'4018065816830100025 ,FCB-9981,FCB-10028
FCB-9947,IslamicBanking_MurabahaFinancing_Open_MurabahaAccount_SMEs-S-CBE-ShortTerm_4000_ByMaker_B10,PT11,Infy@123,OIFAT,'06581683,4000,'15-01-2024,150000,10000,6,0,'16060658168301001,yes,6,monthly,'16-01-2024,10,,,'16060658168301001,15/07/2024,'15-01-2024,'LIM18,'NFBLM,equal,successfully,'4000065816830100033 ,FCB-9982,FCB-10029
