tcId,summary,username,password,menu,cif,schemeCode,currency,types,cifType,documentDate,expiryDate,tenor,dropdownMenu,collateralType,collateralCode,modifyLoan,apportionedAmount,withdrawal,entityId,entityId1,expectedResult,reference,linkedTcid2,linkedTcid
FCB-13328,Assets_ODA_Retail_Create_OverdraftAccount_Secured_SOVD_SecuredOverDraft_LinkSingleDepositCollateral_EGP_ByMaker_A1,PT103,Infy@123,OOA,"""06617304",5000,,Secured,Retail,"""07/01/2024","""03/10/2025",12,,Single,DEPOCERT,,50,50,,,successfully,,FCB-22480,FCB-13329
FCB-13410,Assets_ODA_Retail_Create_OverdraftAccount_Secured_SOVD_LinkMultipleDepositCollateral_EGP_ByMaker_T1,PT105,Infy@123,OOA,"""06617304",5000,,Secured,Retail,"""07/01/2024","""03/10/2026",12,,Multiple,DEPOCERT,,20,40,,,successfully,,FCB-22481,FCB-13411
FCB-13365,Assets_ODA_Retail_Create_SecuredOverdraftAccount_ModifyLoanToValue_EGP_ByMaker_J1,PT103,Infy@123,OOA,"""06617304",5000,,Secured,Retail,"""07/01/2024","""03/10/2025",12,,Single,DEPOCERT,"""90.000000",50,50,,,successfully,,FCB-22482,FCB-13366
FCB-22468,Assets_ODA_Retail_Create_ModifiedOverdraftAccount_EditExpiryDateField_EGP_ByChecker_B1,PT105,Infy@123,OOA,"""06617304",5000,,Secured,Retail,"""07/01/2024","""03/10/2025",12,,Single,DEPOCERT,,50,50,,,successfully,,FCB-13339,FCB-13340
FCB-22471,Assets_ODA_Retail_Create_OverdraftAccount_EditStatementFrequencyField_EGP_ByChecker_C1,PT103,Infy@123,OOA,"""06617304",5000,,Secured,Retail,"""07/01/2024","""03/10/2025",12,,Single,DEPOCERT,,50,50,,,successfully,,FCB-13341,FCB-13342
FCB-13870,Assets_ODA_Corporate_Create_OverdraftAccount_Secured_SOVD_SecuredOverDraft_LinkSingleDepositCollateral_EGP_ByMaker_A1,PT105,Infy@123,OOA,"""06577832",5022,,Secured,Corporate,"""07/01/2024","""03/10/2026",12,,Single,DEPOCERT,,50,50,,,successfully,,FCB-22470,FCB-13871
FCB-22472,Assets_ODA_Retail_Create_DrawingPower_Derived_ForSecuredOverdraft_EGP_ByMaker_E1,PT103,Infy@123,OOA,"""06192371",5013,,Unsecured,Retail,"""07/01/2024","""03/10/2025",12,Derived,Not Collateral,,,,100,,,successfully,,FCB-13349,FCB-22473
FCB-13969,Assets_ODA_Corporate_Create_OverdraftAccount_Secured_SOVD_LinkMultipleDepositCollateral_EGP_ByMaker_W1,PT105,Infy@123,OOA,"""06577828	",5022,,Secured,Corporate,"""07/01/2024","""03/10/2025",12,,Multiple,DEPOCERT,,20,40,,,successfully,,FCB-22478,FCB-13970
FCB-13912,Assets_ODA_Corporate_Create_SecuredOverdraftAccount_ModifyLoanToValue_EGP_ByMaker_L1,PT103,Infy@123,OOA,"""06577827",5022,,Secured,Corporate,"""07/01/2024","""03/10/2025",12,,Single,DEPOCERT,"""90.000000",50,50,,,successfully,,FCB-22479,FCB-13913
FCB-13872,Assets_ODA_Corporate_Create_OverdraftAccount_UnSecured_ODUNS_EGP_ByChecker_B1,PT105,Infy@123,OOA,"""03799490",5013,,Unsecured,Corporate,"""07/01/2024","""03/10/2025",12,Equal,Not Collateral,,,,100,,,successfully,,FCB-13882,FCB-13873
FCB-13963,Assets_ODA_Corporate_Create_OverdraftAccount_UnSecured_ODUNS_USD_ByChecker_V1,PT103,Infy@123,OOA,"""03773333",5013,USD,Unsecured,Corporate,"""07/01/2024","""03/10/2025",12,Equal,Not Collateral,,,,100,'1159066186230200005,'1159066130360200002,successfully,,FCB-13884,FCB-13964
FCB-22474,Assets_ODA_Corporate_Create_DrawingPower_Equal_EGP_ByMaker_F1,PT105,Infy@123,OOA,"""03782715",5013,,Unsecured,Corporate,"""07/01/2024","""03/10/2025",12,Equal,Not Collateral,,,,100,,,successfully,,FCB-13894,FCB-13895
FCB-22475,Assets_ODA_Corporate_Create_DrawingPower_Equal_ForSecuredOverdraft_EGP_ByMaker_G1,PT103,Infy@123,OOA,"""03785951",5013,,Unsecured,Corporate,"""07/01/2024","""03/10/2025",12,Equal,Not Collateral,,,,100,,,successfully,,FCB-13896,FCB-13897
FCB-22476,Assets_ODA_Corporate_Create_DrawingPower_Equal_EGP_ByMaker_I1,PT105,Infy@123,OOA,"""03799044",5013,,Unsecured,Corporate,"""07/01/2024","""03/10/2025",12,Equal,Not Collateral,,,,100,,,successfully,,FCB-13900,FCB-13901
FCB-22477,Assets_ODA_Corporate_Create_DrawingPower_Equal_EGP_ByMaker_H1,PT103,Infy@123,OOA,"""03771501",5013,,Unsecured,Corporate,"""07/01/2024","""03/10/2025",12,Equal,Not Collateral,,,,100,,,successfully,,FCB-13898,FCB-13899
