tcId,summary,username,password,menu,cif,schemeCode,valueDate,depositPeriodMonths,depositPeriodDays,initialDepositAmount,profitCreditAccountId,repaymentAccountId,debitAccountId,expectedResult,reference,linkedTcid,closeLinkedTcid
FCB-10147,IslamicBanking_WakalahTUA_Open_WTD07_Account_ByMaker_C1,PT7,Infy@123,OTUDA,'06604876,1770,'15-11-2023,0,7,5000,'16090660487601001,'16090660487601001,'16090660487601001,successfully,,FCB-10155,FCB-10177
FCB-10148,IslamicBanking_WakalahTUA_Open_WTD1M_Account_ByMaker_C2,PT7,Infy@123,OTUDA,'06204070,1772,'15-11-2023,1,0,5000,'17000620407001001,'17000620407001001,'17000620407001001,successfully,'1772062489510101756,FCB-10156,FCB-10179
FCB-10149,IslamicBanking_WakalahTUA_Open_WTD3M_Account_ByMaker_C3,PT7,Infy@123,OTUDA,'06611109,1773,'15-11-2023,3,0,5000,'16060661110901001,'16060661110901001,'16060661110901001,successfully,'1773062489510101762,FCB-10157,FCB-10181
FCB-10150,IslamicBanking_WakalahTUA_Open_WTD6M_Account_ByMaker_C4,PT7,Infy@123,OTUDA,'06225823,1774,'15-11-2023,6,0,5000,'17000622582301001,'17000622582301001,'17000622582301001,successfully,'1774062489510101778,FCB-10158,FCB-10183
FCB-10151,IslamicBanking_WakalahTUA_Open_WTD9M_Account_ByMaker_C5,PT7,Infy@123,OTUDA,'06189232,1775,'15-11-2023,9,0,5000,'17000618923201001,'17000618923201001,'17000618923201001,successfully,'1775062489510101784,FCB-10159,FCB-10185
FCB-10152,IslamicBanking_WakalahTUA_Open_WTD1Y_Account_ByMaker_C6,PT7,Infy@123,OTUDA,'06612866,1777,'15-11-2023,12,0,5000,'16060661286601001,'16060661286601001,'16060661286601001,successfully,'1777062489510101799,FCB-10160,FCB-10187
FCB-10153,IslamicBanking_WakalahTUA_Open_WTD2Y_Account_ByMaker_C7,PT7,Infy@123,OTUDA,'06204070,1778,'15-11-2023,24,0,5000,'17000620407001001,'17000620407001001,'17000620407001001,successfully,'1778062489510101804,FCB-10161,FCB-10189
FCB-10154,IslamicBanking_WakalahTUA_Open_WTD3Y_Account_ByMaker_C8,PT7,Infy@123,OTUDA,'06193119,1779,'15-11-2023,36,0,5000,'17000619311901001,'17000619311901001,'17000619311901001,successfully,'1779062489510101810,FCB-10162,FCB-10191
FCB-14039,IslamicBanking_WakalahTUA_Open_WTD1Y_Account_Monthly_ByMaker_T1,PT7,Infy@123,OTUDA,'06210236,1780,'15-11-2023,12,0,5000,'17000621023601001,'17000621023601001,'17000621023601001,successfully,'1780062489510101823,FCB-14040,FCB-22629
FCB-14041,IslamicBanking_WakalahTUA_Open_WTD2Y_Account_Monthly_ByMaker_U1,PT7,Infy@123,OTUDA,'06198218,1782,'15-11-2023,24,0,5000,'16090619821801001,'16090619821801001,'16090619821801001,successfully,'1782062489510101838,FCB-14042,FCB-22630
FCB-14043,IslamicBanking_WakalahTUA_Open_WTD3Y_Account_Monthly_ByMaker_V1,PT7,Infy@123,OTUDA,'06193119,1784,'15-11-2023,36,0,5000,'17000619311901001,'17000619311901001,'17000619311901001,successfully,'1784062489510101843,FCB-14044,FCB-22631
FCB-14045,IslamicBanking_WakalahTUA_Open_WTD1Y_Account_Quarterly_ByMaker_W1,PT7,Infy@123,OTUDA,'06264009,1781,'15-11-2023,12,0,5000,'16060626400901029,'16060626400901029,'16060626400901029,successfully,'1781062489510101853,FCB-14046,FCB-22632
FCB-14047,IslamicBanking_WakalahTUA_Open_WTD2Y_Account_Quarterly_ByMaker_X1,PT7,Infy@123,OTUDA,'06598422,1783,'15-11-2023,24,0,5000,'16060659842201001,'16060659842201001,'16060659842201001,successfully,'1783062489510101868,FCB-14048,FCB-22633
FCB-14049,IslamicBanking_WakalahTUA_Open_WTD3Y_Account_Quarterly_ByMaker_Y1,PT7,Infy@123,OTUDA,'06208316,1785,'15-11-2023,36,0,5001,'17000620831601001,'17000620831601001,'17000620831601001,successfully,'1785062489510101873,FCB-14050,FCB-22634
FCB-22623,IslamicBanking_WakalahTUA_Open_AlKhayr3Years_Account_Monthly_ByMaker,PT7,Infy@123,OTUDA,'06303949,1786,'15-11-2023,36,0,5000,'17000630394901001,'17000630394901001,'17000630394901001,successfully,'1786062489510101889,FCB-22625,FCB-22627
FCB-22624,IslamicBanking_WakalahTUA_Open_AlKhayr3Years_Account_Annually_ByMaker,PT7,Infy@123,OTUDA,'06208316,1787,'15-11-2023,36,0,5000,'17000620831601001,'17000620831601001,'17000620831601001,successfully,'1787062489510101895,FCB-22626,FCB-22628
