tcId,summary,username,password,menu,accountId,expectedResult
FCB-5776,Liabilities_CASA_VerifyCreation_SavingA/C_YSF_1102_GBP_Checker,PT51,Infy@123,VSAO,'11020521351704138,successfully
FCB-582,Liabilities_CASA_VerifyCreatingAccount_Retail_SBA_Checker,PT51,Infy@123,VSAO,'11000616861001821,successfully
FCB-5742,Liabilities_CASA_VerifyCreation_SavingA/C_SHF_EUR_Checker,PT51,Infy@123,VSAO,'11040616861003834,successfully
FCB-5744,Liabilities_CASA_VerifyCreation_SavingA/C_SHF_USD_Checker,PT51,Infy@123,VSAO,'11040616861002844,successfully
FCB-5746,Liabilities_CASA_VerifyCreation_SavingA/C_SHF_GBP_1104_Checker,PT51,Infy@123,VSAO,'11040616861004851,successfully
FCB-5748,Liabilities_CASA_VerifyCreation_SavingA/C_SHL_EGP__Checker,PT51,Infy@123,VSAO,'11060616861001773,successfully
FCB-5762,Liabilities_CASA_VerifyCreation_SavingA/C_SSL_1105_EGP_Checker,PT51,Infy@123,VSAO,'11050616861001783,successfully
FCB-5764,Liabilities_CASA_VerifyCreation_SavingA/C_SSF_USD_Checker,PT51,Infy@123,VSAO,'11030616861002793,successfully
FCB-5766,Liabilities_CASA_VerifyCreation_SavingA/C_SSF_EUR_Checker,PT51,Infy@123,VSAO,'11030616861003808,successfully
FCB-5768,Liabilities_CASA_VerifyCreation_SavingA/C_SSF_1103_GBP_Checker,PT51,Infy@123,VSAO,'11030616861004816,successfully
FCB-5770,Liabilities_CASA_VerifyCreation_SavingA/C_YSL_1110_EGP_Checker,PT51,Infy@123,VSAO,'11100521351701103,successfully
FCB-5772,Liabilities_CASA_VerifyCreation_SavingA/C_YSF_EUR_Checker,PT51,Infy@123,VSAO,'11020521351703111,successfully
FCB-5774,Liabilities_CASA_VerifyCreation_SavingA/C_YSF_USD_Checker,PT51,Infy@123,VSAO,'11020521351702121,successfully
