tcId,summary,username,password,menu,accountId,expectedResult
FCB-2754,Liabilities_CD_VerifyCreation_EGP_Checker,PT48,Infy@123,INSTTD,'1165006640850100344,successfully
FCB-2780,Liabilities_Deposit_Verify_Certificates_CD3M_EGP_Monthly_Checker,PT48,Infy@123,INSTTD,'1165006640850100353,successfully
FCB-2783,Liabilities_Deposit_Verify_Certificates_CD3Q_EGP_Quarertly_Checker,PT48,Infy@123,INSTTD,'1171006640850100363,successfully
FCB-5809,Liabilities_Deposit_Verify_Certificates_HASAD_EGP_Monthly_Checker,PT48,Infy@123,INSTTD,'1188006640850100372,successfully
FCB-5812,Liabilities_Deposit_Verify_Certificates_MASAYA_EGP_Monthly_Checker,PT48,Infy@123,INSTTD,'1189066049400100029,successfully
FCB-5821,Liabilities_Deposit_Verify_Certificates_NAMAACD_EGP_Monthly_Checker,PT48,Infy@123,INSTTD,'1166006640850100389,successfully
FCB-10973,Liabilities_Deposit_Verify_Certificates_CD3M_EGP_MinimumAmount_Checker,PT48,Infy@123,INSTTD,'1165006640850100399,successfully
FCB-10979,Liabilities_Deposit_Verify_Certificates_CD3Q_EGP_MinimumAmount_Checker,PT48,Infy@123,INSTTD,'1171006640850100406,successfully
FCB-10981,Liabilities_Deposit_Verify_Certificates_USDCDQ_1163_USD_MinimumAmount_Checker,PT48,Infy@123,INSTTD,'1163006640880200324,successfully
FCB-10983,Liabilities_Deposit_Verify_Certificates_EURCDQ_1164_EUR_MinimumAmount_Checker,PT48,Infy@123,INSTTD,,successfully
FCB-10992,Liabilities_Verify_Certificates_HASAD_Annually_EGP_3Years_Checker,PT48,Infy@123,INSTTD,,successfully
FCB-new,Liabilities_Verify_Certificates_AMAN_RetailCIF_Amount500_114_Checker,PT48,Infy@123,INSTTD,'1168006640850100411,successfully
FCB-17205,Liabilities_Verify_Certificates_AMAN_RetailCIF_Amount1000_115_Checker,PT48,Infy@123,INSTTD,'1167006640850100421,successfully
FCB-17211,Liabilities_Verify_Certificates_AMAN_RetailCIF_Amount2500_115_Checker,PT48,Infy@123,INSTTD,,successfully
