tcId,summary,username,password,menu,accountId,expectedResult
FCB-12205,Assets_CLA_Corporate_Verify_Unsecured_Floating_CLSMK_EGP_ByChecker_BE2,PT18,Infy@123,VCLA,'2292065788240101146 ,successfully
FCB-12207,Assets_CLA_Corporate_Verify_Unsecured_Floating_CLSFT_EGP_ByChecker_BF2,PT18,Infy@123,VCLA,'2293065788240101152 ,successfully
FCB-12209,Assets_CLA_Corporate_Verify_Unsecured_Floating_LSMCB_EGP_ByChecker_BG2,PT18,Infy@123,VCLA,'2294065788240101168 ,successfully
FCB-12211,Assets_CLA_Corporate_Verify_Unsecured_Floating_LSSCB_EGP_ByChecker_BH2,PT18,Infy@123,VCLA,'2295065788240101174 ,successfully
FCB-12213,Assets_CLA_Corporate_Verify_Unsecured_Floating_CPOLN_EGP_ByChecker_BI2,PT18,Infy@123,VCLA,'2296065788240101180 ,successfully
FCB-12013,Assets_CLA_Corporate_Verify_ModifedLoanInterest_t_EditStartDateField_EGP_ByChecker_E2,PT18,Infy@123,VCLA,'2292065788240101092 ,successfully
FCB-12022,Assets_CLA_Corporate_Verify_ModifiedBeforeVerification_UnsecuredLoan_EditLoanAmtField_EGP_ByChecker_F2,PT18,Infy@123,VCLA,'2293065788240101107 ,successfully
FCB-12024,Assets_CLA_Corporate_Verify_ModifiedBeforeVerification_UnsecuredLoan_EditNumberOfInstallmentsField_EGP_ByChecker_G2,PT18,Infy@123,VCLA,'2294065788240101113 ,successfully
FCB-12026,Assets_CLA_Corporate_Verify_ModifiedBeforeVerification_UnsecuredLoan_EditInstallmentsFrequencyField_EGP_ByChecker_H2,PT18,Infy@123,VCLA,'2295065788240101129 ,successfully
FCB-12028,Assets_CLA_Corporate_Verify_ModifiedBeforeVerification_UnsecuredLoan_EditRepricingPlanField_EGP_ByChecker_I2,PT18,Infy@123,VCLA,'2296065788240101135 ,successfully
