"tcId","summary","username","password","menu","accountId","expectedResult"
"FCB-10055","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_CarsShortTerm_ByChecker_E1","PT14","Infy@123","VFADR","","successfully"
"FCB-10056","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_CarsMedium&LongTerm_ByChecker_E2","PT14","Infy@123","VFADR","","successfully"
"FCB-10057","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_MicroFinanceShortTerm_4012_ByChecker_E3","PT14","Infy@123","VFADR","","successfully"
"FCB-10058","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_RetailProjectsShortTerm_ByChecker_E4","PT14","Infy@123","VFADR","","successfully"
"FCB-10059","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_RetailProjectsMedium&LongTerm_ByChecker_E5","PT14","Infy@123","VFADR","","successfully"
"FCB-10060","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_LivestockShortTerm_ByChecker_E6","PT14","Infy@123","VFADR","","successfully"
"FCB-10061","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_LivestockMedium&LongTerm_ByChecker_E7","PT14","Infy@123","VFADR","","successfully"
"FCB-10062","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_MicroFinanceCBEShortTerm_ByChecker_E8","PT14","Infy@123","VFADR","","successfully"
"FCB-10063","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_MicroFinanceCBEMedium&LongTerm_ByChecker_E9","PT14","Infy@123","VFADR","","successfully"
"FCB-10064","IslamicBanking_MurabahaFinancing_Verify_MurabahaAccountDisbursment_SMEs-S-CBE-ShortTerm_ByChecker_E10","PT14","Infy@123","VFADR","","successfully"
