"tcId","summary","username","password","menu","accountId","expectedResult"
"FCB-338","Finance_P/L Zeroization_Authorize_OfficeAccount_RetainedEarningsAccount_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-336","Finance_P/L Zeroization_Authorize_OfficeAccount_IncomeExpenseAccount_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-308","Finance_P/L Zeroization_Authorize_OfficeAccount_IncomeExpenseAccount_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-460","Finance_ContingentAccounts_Verify_OfficeAccount_ContingentAsset_EGP_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-461","Finance_ContingentAccounts_Verify_OfficeAccount_ContingentLiability_EGP_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-529","Finance_PointingAccounts_Verify_OfficeAccount_EGP_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-541","Finance_PointingAccounts_Verify_OfficeAccount_USD_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-305","Finance_CashAccounts_Verify_OfficeAccount__Teller_Cash_GBP_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-299","Finance_CashAccounts_Verify_OfficeAccount_Teller_Cash_EGP_ByChecker","PT71","Infy@123","voa","","successfully"
"FCB-302","Finance_CashAccounts_Verify_OfficeAccount_Vault_Cash_USD_ByChecker","PT71","Infy@123","voa","","successfully"
