"tcId","summary","username","password","menu","accountId","expectedResult"
"FCB-13329","Assets_ODA_Retail_Verify_OverdraftAccount_Secured_SOVD_SecuredOverDraft_LinkSingleDepositCollateral_EGP_ByChecker_A2","PT104","Infy@123","VOAO","","successfully"
"FCB-13411","Assets_ODA_Retail_Verify_OverdraftAccount_Secured_SOVD_LinkMultipleDepositCollateral_EGP_ByChecker_T2","PT106","Infy@123","VOAO","","successfully"
"FCB-13366","Assets_ODA_Retail_Verify_SecuredOverdraftAccount_ModifyLoanToValue_EGP_ByMaker_J2","PT104","Infy@123","VOAO","","successfully"
"FCB-13340","Assets_ODA_Retail_Verify_ModifiedOverdraftAccount_EditExpiryDateField_EGP_ByChecker_B2","PT106","Infy@123","VOAO","","successfully"
"FCB-13342","Assets_ODA_Retail_Verify_OverdraftAccount_EditStatementFrequencyField_EGP_ByChecker_C2","PT104","Infy@123","VOAO","","successfully"
"FCB-13871","Assets_ODA_Corporate_Verify_OverdraftAccount_Secured_ODSEC_LinkSingleDepositCollateral_EGP_ByChecker_A2","PT106","Infy@123","VOAO","","successfully"
"FCB-22473","Assets_ODA_Retail_Verify_DrawingPower_Derived_ForSecuredOverdraft_EGP_ByMaker_E2","PT104","Infy@123","VOAO","","successfully"
"FCB-13970","Assets_ODA_Corporate_Verify_OverdraftAccount_Secured_ODSEC_LinkMultipleDepositCollateral_EGP_ByChecker_W2","PT106","Infy@123","VOAO","","successfully"
"FCB-13913","Assets_ODA_Corporate_Verify_OverdraftAccount_ModifyLoanToValue_EGP_ByChecker_L2","PT104","Infy@123","VOAO","","successfully"
"FCB-13873","Assets_ODA_Corporate_Verify_OverdraftAccount_UnSecured_ODUNS_EGP_ByChecker_B2","PT106","Infy@123","VOAO","","successfully"
"FCB-13964","Assets_ODA_Corporate_Verify_OverdraftAccount_UnSecured_ODUNS_USD_ByChecker_V2","PT104","Infy@123","VOAO","","successfully"
"FCB-13895","Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Maintained_EGP_ByChecker_F2","PT106","Infy@123","VOAO","","successfully"
"FCB-13897","Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Derived_ForSecuredOverdraft_EGP_ByChecker_G2","PT104","Infy@123","VOAO","","successfully"
"FCB-13901","Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Parent_EGP_ByChecker_I2","PT106","Infy@123","VOAO","","successfully"
"FCB-13899","Assets_ODA_Corporate_Verify_ModifiedDrawingPower_Equal_EGP_ByChecker_H2","PT104","Infy@123","VOAO","","successfully"
