tcId,summary,username,password,menu,billId,mixedBillId1,mixedBillId2,expectedResult
FCB-6973,TradeFinance_Import_Bills_Under_Collection_Verify_Realize_Usance_Foreign_EUR_ByChecker_L8,PT69,Infy@123,VIIB,'1408IDC24000077,,,successfully
FCB-6918,TradeFinance_Import_Bills_Under_Collection_Verify_Realize_Sight_Foreign_USD_ByChecker_C4,PT69,Infy@123,VIIB,'1408IDC24000076,,,successfully
FCB-6930,TradeFinance_Import_Bills_Under_Collection_Verify_Realize_Sight_Foreign_EUR_ByChecker_F4,PT69,Infy@123,VIIB,'1408IDC24000064,,,successfully
FCB-6955,TradeFinance_Import_Bills_Under_Collection_Verify_Realize_Usance_Local_EGP_ByChecker_J8,PT69,Infy@123,VIIB,'1408IDC24000068,,,successfully
FCB-7006,TradeFinance_Import_Bills_Under_Collection_Verify_Realize_Mixed Tenor_Local_EGP_ByChecker_R8,PT69,Infy@123,VIIB,'1408IDC24000065,'1408IDC24000066,'1408IDC24000067,successfully
FCB-7014,TradeFinance_Import_Bills_Under_Collection_Verify_Realize_Mixed Tenor_Foreign_USD_ByChecker_S8,PT69,Infy@123,VIIB,'1408IDC24000069,'1408IDC24000070,'1408IDC24000071,successfully
FCB-7024,TradeFinance_Import_Bills_Under_Collection_Verify_Realize_Mixed Tenor_Foreign_EUR_ByChecker_AB10,PT69,Infy@123,VIIB,'1408IDC24000072,'1408IDC24000073,'1408IDC24000074,successfully
FCB-7390,TradeFinance_Import_Bills_Under_Documentary_Credit_Verify_Realized_Usance_Foreign_USD_ByChecker_C6,PT69,Infy@123,VIIB,'1408IDC24000060,,,successfully
FCB-7404,TradeFinance_Import_Bills_Under_Documentary_Credit_Verify_Realize_Usance_Foreign_EUR_ByChecker_B6,PT69,Infy@123,VIIB,'1408IDC24000061,,,successfully
FCB-7412,TradeFinance_Import_Bills_Under_Documentary_Credit_Verify_Realize_Mixed Tenor_Foreign_USD_ByChecker_E6,PT69,Infy@123,VIIB,'1408IDC24000054,'1408IDC24000055,'1408IDC24000056,successfully
FCB-7464,TradeFinance_Import_Bills_Under_Documentary_Credit_Verify_Realize_Mixed Tenor_Local_EGP_ByChecker_Y6,PT69,Infy@123,VIIB,'1408IDC24000057,'1408IDC24000058,'1408IDC24000059,successfully
