"tcId","summary","username","password","menu","accountId","expectedResult"
"FCB-10178","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD07_ByChecker_H2","PT10","Infy@123","VTDAC","","successfully"
"FCB-10180","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD1M_ByChecker_I2","PT10","Infy@123","VTDAC","","successfully"
"FCB-10182","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD3M_ByChecker_J2","PT10","Infy@123","VTDAC","","successfully"
"FCB-10184","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD6M_ByChecker_K2","PT10","Infy@123","VTDAC","","successfully"
"FCB-10186","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD9M_ByChecker_L2","PT10","Infy@123","VTDAC","","successfully"
"FCB-10188","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD1Y_ByChecker_M2","PT10","Infy@123","VTDAC","","successfully"
"FCB-10190","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD2Y_ByChecker_N2","PT10","Infy@123","VTDAC","","successfully"
"FCB-10192","IslamicBanking_WakalahTUA_Verify_Preclosure_WakalahTUA_WTD3Y_ByChecker_O2","PT10","Infy@123","VTDAC","","successfully"
"FCB-22637","IslamicBanking_WakalahTUA_Verify_Preclosure_WTD1Y_Account_Monthly_ByChecker","PT10","Infy@123","VTDAC","","successfully"
"FCB-22638","IslamicBanking_WakalahTUA_Verify_Preclosure_WTD2Y_Account_Monthly_ByChecker","PT10","Infy@123","VTDAC","","successfully"
"FCB-22639","IslamicBanking_WakalahTUA_Verify_Preclosure_WTD3Y_Account_Monthly_ByChecker","PT10","Infy@123","VTDAC","","successfully"
"FCB-22640","IslamicBanking_WakalahTUA_Verify_Preclosure_WTD1Y_Account_Quarterly_ByChecker","PT10","Infy@123","VTDAC","","successfully"
"FCB-22641","IslamicBanking_WakalahTUA_Verify_Preclosure_WTD2Y_Account_Quarterly_ByChecker","PT10","Infy@123","VTDAC","","successfully"
"FCB-22642","IslamicBanking_WakalahTUA_Verify_Preclosure_WTD3Y_Account_Quarterly_ByChecker","PT10","Infy@123","VTDAC","","successfully"
"FCB-22635","IslamicBanking_WakalahTUA_Verify_Preclosure_AlKhayr3Years_Account_Monthly_ByChecker","PT10","Infy@123","VTDAC","","successfully"
"FCB-22636","IslamicBanking_WakalahTUA_Verify_Preclosure_AlKhayr3Years_Account_Annually_ByChecker","PT10","Infy@123","VTDAC","","successfully"
