tcId,summary,username,password,menu,accountId,expectedResult
FCB-10155,IslamicBanking_WakalahTUA_Verify_WTD07_Account_ByChecker_D1,PT151,Infy@123,VTUDAO,'1770062167560100016,successfully
FCB-10156,IslamicBanking_WakalahTUA_Verify_WTD1M_Account_ByChecker_D2,PT151,Infy@123,VTUDAO,,successfully
FCB-10157,IslamicBanking_WakalahTUA_Verify_WTD3M_Account_ByChecker_D3,PT151,Infy@123,VTUDAO,,successfully
FCB-10158,IslamicBanking_WakalahTUA_Verify_WTD6M_Account_ByChecker_D4,PT151,Infy@123,VTUDAO,,successfully
FCB-10159,IslamicBanking_WakalahTUA_Verify_WTD9M_Account_ByChecker_D5,PT151,Infy@123,VTUDAO,,successfully
FCB-10160,IslamicBanking_WakalahTUA_Verify_WTD1Y_Account_ByChecker_D6,PT151,Infy@123,VTUDAO,,successfully
FCB-10161,IslamicBanking_WakalahTUA_Verify_WTD2Y_Account_ByChecker_D7,PT151,Infy@123,VTUDAO,,successfully
FCB-10162,IslamicBanking_WakalahTUA_Verify_WTD3Y_Account_ByChecker_D8,PT151,Infy@123,VTUDAO,,successfully
FCB-14040,IslamicBanking_WakalahTUA_Verify_WTD1Y_Account_Monthly_ByChecker_T2,PT151,Infy@123,VTUDAO,,successfully
FCB-14042,IslamicBanking_WakalahTUA_Verify_WTD2Y_Account_Monthly_ByChecker_U2,PT151,Infy@123,VTUDAO,,successfully
FCB-14044,IslamicBanking_WakalahTUA_Verify_WTD3Y_Account_Monthly_ByChecker_V2,PT151,Infy@123,VTUDAO,,successfully
FCB-14046,IslamicBanking_WakalahTUA_Verify_WTD1Y_Account_Quarterly_ByChecker_W2,PT151,Infy@123,VTUDAO,,successfully
FCB-14048,IslamicBanking_WakalahTUA_Verify_WTD2Y_Account_Quarterly_ByChecker_X2,PT151,Infy@123,VTUDAO,,successfully
FCB-14050,IslamicBanking_WakalahTUA_Verify_WTD3Y_Account_Quarterly_ByChecker_Y2,PT151,Infy@123,VTUDAO,,successfully
FCB-22625,IslamicBanking_WakalahTUA_Verify_AlKhayr3Years_Account_Monthly_ByChecker,PT151,Infy@123,VTUDAO,,successfully
FCB-22626,IslamicBanking_WakalahTUA_Verify_AlKhayr3Years_Account_Annually_ByChecker,PT151,Infy@123,VTUDAO,,successfully
